ACQUISITIONDATE,ACRES,ADDRESS,BOROUGH,CLASS,COMMUNITYBOARD,COUNCILDISTRICT,DEPARTMENT,EAPPLY,GISOBJID,GISPROPNUM,GlobalID,JURISDICTION,LOCATION,MAPPED,NAME311,NYS_ASSEMBLY,NYS_SENATE,OBJECTID,OMPPROPID,PARENTID,PERMIT,PERMITDISTRICT,PERMITPARENT,PIP_RATABLE,PRECINCT,RETIRED,SIGNNAME,SUBCATEGORY,TYPECATEGORY,US_CONGRESS,WATERFRONT,ZIPCODE,Location
1925 Oct 01 12:00:00 AM,2.6,36-26 Bowne St.,Q,PARK,407,20,Q-07,Margaret I. Carman Green (Weeping Beech),"100,000,297",Q022,A74691A0-8E06-4DC4-9C16-0141A28086B0,DPR,37 Ave. bet. Bowne St. and Parsons Blvd.,True,Margaret I. Carman Green - Weeping Beech,40,16,"170,912",Q022,Q-07,True,Q-07,Q-07,True,109,False,Margaret I. Carman Green - Weeping Beech,Neighborhood Plgd,Playground,6,False,11354,POINT (-73.82497843039366 40.7633023460878)
1997 Dec 19 12:00:00 AM,0.367,1070 LONGFELLOW AVENUE,X,PARK,202,17,X-02,Longfellow Playground,"100,003,955",X290,16DE9831-232A-4EF0-87FE-369F41CE4B1C,DPR,"Longfellow Ave., Lowell St., E. 165 St.",False,Longfellow Playground,85,32,"170,844",X290,X-02,True,X-02,X-02,True,41,False,Longfellow Playground,Neighborhood Plgd,Playground,14,False,10459,POINT (-73.88755690083345 40.82559474403442)
1993 Dec 30 12:00:00 AM,0.714,75 WEST 175 STREET,X,PARK,205,14,X-05,Galileo Playground,"100,004,947",X265,3BFC516E-D242-46BF-A1E9-C83ABE90D0CB,DPR,Macombs Rd bet. W 176 St and W 175 St,False,Galileo Playground,77,31,"170,898",X265,X-05,True,X-05,X-05,True,46,False,Galileo Playground,Neighborhood Plgd,Playground,13,False,10453,POINT (-73.91563678213409 40.848653051888775)
1966 Feb 28 12:00:00 AM,0.329,436 EAST 49 STREET,M,PARK,106,4,M-06,MacArthur Playground,"100,003,948",M256,90826EB9-8CFA-4284-ADC4-8F54FA005CBC,DPR,"E. 48 St. To E. 49 St., FDR",True,MacArthur Playground,73,59,"170,795",M256,M-06,True,M-06,M-06,True,17,False,MacArthur Playground,Neighborhood Plgd,Playground,12,False,10017,POINT (-73.96512264168265 40.75217552360053)
1997 Jan 16 12:00:00 AM,0.516,449-465 EAST 183 STREET,X,PARK,206,15,X-06,Washington Park,"100,004,859",X280,0DA747C6-F388-46CA-959D-CFA0C42C4FB7,DPR,E 183 St bet. Washington Av and Park Av,False,Washington Park,78,33,"170,878",X280,X-06,True,X-06,X-06,True,48,False,Washington Park,Neighborhood Plgd,Playground,15,False,10458,POINT (-73.89366771295249 40.85576318868664)
1997 Apr 22 12:00:00 AM,0.185,385-389 KOSCIUSZKO STREET,B,PARK,303,36,B-03,Kosciuszko Street Garden,"100,003,702",B398,06246015-D8CB-4AD3-A74B-ED902D97E1A0,DPR,Kosciuszko St. bet. Marcus Garvey Blvd. and Lewis Ave.,False,Kosciuszko Street Garden,56,25,"170,780",B398,B-03,False,B-03,B-03,False,81,False,Kosciuszko Street Garden,Greenthumb,Garden,8,False,11221,POINT (-73.93924877152884 40.69224458215319)
1955 May 16 12:00:00 AM,1.597,1251 ALLERTON AVENUE,X,PARK,211,13,X-11,Allerton Playground,"100,004,422",X172,74F42CCF-1CE4-4EC0-8BA5-796E1CD66036,DPR/DOE,Allerton Ave. bet. Throop Ave. and Bouck Ave.,False,Allerton Playground,80,36,"170,769",X172,X-11,True,X-11,X-11,True,49,False,Allerton Playground,JOP,Jointly Operated Playground,15,False,10469,POINT (-73.85052156700003 40.86609740093069)
1972 Sep 22 12:00:00 AM,83.3,1000 RICHMOND TERRACE,R,PARK,501,49,R-01,Snug Harbor Cultural Center,"100,003,741",R116,D842A67C-986F-4831-AA7D-EE8BCA80BEE9,DPR,"Richmond Ter., Tysen St., Kissel Ave., Henderson Ave.",True,Snug Harbor Cultural Center,61,23,"170,742",R116,R-01,True,R-01,R-01,False,120,False,Snug Harbor Cultural Center,Large Park,Historic House Park,11,True,"10301, 10310",POINT (-74.1031355447744 40.642210961470894)
1952 Feb 06 12:00:00 AM,0.104,153 MARCY AVENUE,B,PARK,301,34,B-01,Marcy Green South,"100,003,770",B223QA,F6320DEC-2981-4A0B-B951-9F68ADEF6986,DPR,"Broadway, Marcy Ave. and S. 5 St.",Part,Marcy Green South,53,18,"170,777",B223QA,B-01,True,B-01,B-01,True,90,False,Marcy Green South,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11211,POINT (-73.95730278404527 40.70869425805739)
1951 Feb 01 12:00:00 AM,3.348,1050-1054 TINTON AVENUE,X,PARK,203,17,X-03,Behagen Playground,"100,004,824",X166,53A15736-E2C6-4A08-8D48-13928ED2DB4E,DPR,Tinton Av bet. E 166 St and E 165 St,True,Behagen Playground,79,32,"170,849",X166,X-03,True,X-03,X-03,True,42,False,Behagen Playground,Neighborhood Plgd,Playground,15,False,10456,POINT (-73.90140771854112 40.82530403143434)
1960 Dec 01 12:00:00 AM,2.412,93-29 QUEENS BOULEVARD,Q,PARK,406,24,Q-06,Lost Battalion Hall Recreation Center,"100,000,048",Q401,0C8478BA-1F3D-472C-90FC-519B58DF5CDF,DPR/Private,Queens Blvd. bet. 62 Ave. and 62 Rd.,True,Lost Battalion Hall Recreation Center,39,12,"170,726",Q401,Q-06,True,Q-06,Q-06,True,112,False,Lost Battalion Hall Recreation Center,Neighborhood Plgd,Community Park,6,False,11374,POINT (-73.8651640283696 40.73220406406483)
1936 Aug 12 12:00:00 AM,2.21,163 JERSEY STREET,R,PARK,501,49,R-01,Mahoney Playground,"100,004,390",R025,303077AE-348C-46A7-B0EC-A875F22CDDDB,DPR/NYCHA,"Beechwood Ave., Crescent Ave. and Jersey St.",True,Mahoney Playground,61,23,"170,719",R025,R-01,True,R-01,R-01,True,120,False,Mahoney Playground,Neighborhood Plgd,Neighborhood Park,11,False,10301,POINT (-74.0858287901932 40.64339916429088)
2002 Nov 20 12:00:00 AM,0.043,436 VAN SICLEN AVENUE,B,PARK,305,42,B-05,Big Red Garden,"100,004,625",B446,A42C1C69-E5CD-41CB-B8DB-F5E8A08A446F,DPR,Van Siclen Ave. and Blake Ave.,False,Big Red Garden,60,19,"170,724",B446,B-05,False,B-05,B-05,False,75,False,Big Red Garden,Greenthumb,Garden,8,False,11207,POINT (-73.8895838518749 40.66873466880647)
1926 Apr 29 12:00:00 AM,286.557,298 SATERLEE STREET,R,PARK,503,51,R-03,Conference House Park,"100,004,319",R006,2841ACBB-B418-4718-96DF-9B896C3CDA84,DPR,"Pittsville St., Hylan Blvd. Richard Ave.",Part,Conference House Park,62,24,"170,753",R006,R-03,True,R-03,R-03,False,123,False,Conference House Park,Large Park,Nature Area,11,True,"10307, 10309",POINT (-74.249349530942 40.50017786019468)
1964 Apr 23 12:00:00 AM,8.807,1904 SURF AVENUE,B,PARK,313,47,B-13,Abe Stark Skating Rink,"100,003,999",B336,9869BB84-5C2D-4BBB-85A3-E70647B986E6,DPR,Surf Ave. to the Boardwalk between W. 19 St. and W. 20 St.,Part,Abe Stark Skating Rink,46,23,"170,748",B336,B-13,False,B-13,B-13,False,60,False,Abe Stark Skating Rink,Concession,Buildings/Institutions,8,True,11224,POINT (-73.9855307970443 40.573662098117566)
1969 Nov 19 12:00:00 AM,10.01,1904 SURF AVENUE,B,PARK,313,47,B-13,Steeplechase Park,"100,003,998",B369,25CF59E2-92B8-41A4-95A5-C9364C4F3E39,DPR,"Surf Ave. between W. 16 St. and W. 19 St., Public Beach",True,Steeplechase Park,46,23,"170,747",B369,B-13,False,B-13,B-13,False,60,False,Steeplechase Park,Large Park,Community Park,8,True,11224,POINT (-73.98401509911217 40.57435486126624)
2001 Jan 14 12:00:00 AM,71.933,400 RIVERSIDE DRIVE,M,PARK,107,6,M-14,Riverside Park South,"100,003,968",M353,4149E32C-59F8-4660-8199-233EF191FBE0,DPR,"12 Ave., Riverside Blvd. bet. W. 59 St. and W. 72 St.",True,Riverside Park South,67,47,"170,746",M353,M-07,True,M-14,M-07,False,20,False,Riverside Park South,Large Park,Community Park,12,True,"10019, 10023",POINT (-73.99126365386411 40.77750903912004)
1980 Nov 18 12:00:00 AM,52.68328275,83 OLD FARMERS LANE,R,PARK,502,50,R-02,Reed's Basket Willow Swamp Park,"100,004,906",R118,70387C69-AD56-4FEE-9F27-7B9DCF5E67B1,DPR,"Ocean Ter., Emerson Ct., Merrick Ave., Chapin Ave.",Part,Reed's Basket Willow Swamp Park,64,24,"170,725",R118,R-02,False,R-02,R-02,False,122,False,Reed's Basket Willow Swamp Park,Flagship Park,Nature Area,11,False,"10301, 10304",POINT (-74.10326168299991 40.60074682055801)
2002 Nov 20 12:00:00 AM,0.15,215 EAST 7 STREET,M,PARK,103,2,M-03,Lower East Side Ecology Center,"100,003,808",M361,C073930F-5375-43EA-AF22-48B193223A3E,DPR,E. 7 St. bet. Ave. B and Ave. C,False,Lower East Side Ecology Center,74,27,"170,695",M361,M-03,False,M-03,M-03,False,9,False,Lower East Side Ecology Center,Greenthumb,Garden,10,False,10009,POINT (-73.97963613774485 40.72464936599282)
2004 Dec 22 12:00:00 AM,0.061,48 EAST 1 STREET,M,PARK,103,2,M-03,First Street Garden,"100,004,284",M358,EAD81C0A-30F5-433F-9B9A-8AEDCC349914,DPR,E. 1 St. bet. 1 Ave. and 2 Ave.,False,First Street Garden,66,27,"170,694",M358,M-03,False,M-03,M-03,False,9,False,First Street Garden,Greenthumb,Garden,10,False,10003,POINT (-73.989603717985 40.724010643988734)
1907 Sep 20 12:00:00 AM,2.783,617 KNICKERBOCKER AVENUE,B,PARK,304,37,B-04,Bushwick Playground,"100,004,622",B017,D1B7A624-7122-4663-BC55-2745932495E3,DPR,Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.,False,Bushwick Playground,54,18,"170,712",B017,B-04,True,B-04,B-04,True,83,False,Bushwick Playground,JOP,Jointly Operated Playground,7,False,11237,POINT (-73.91212229095584 40.69589527757616)
1904 Nov 29 12:00:00 AM,1.32,89 HOPKINSON AVENUE,B,PARK,316,41,B-16,Marion Hopkinson Playground,"100,004,572",B110,6BC7EB90-FC6F-4C81-BF9F-27BEC220CF34,DPR,Hopkinson Ave. bet. Marion St. and Chauncey St.,Part,Marion Hopkinson Playground,55,25,"170,710",B110,B-16,True,B-16,B-16,True,73,False,Marion Hopkinson Playground,Neighborhood Plgd,Neighborhood Park,8,False,11233,POINT (-73.91321035819573 40.68178282627658)
1946 May 14 12:00:00 AM,0.762,178 BAYARD STREET,B,PARK,301,33,B-01,Lentol Garden,"100,004,609",B223U,64BD9D3D-9126-4A64-829C-0D3818E807AF,DPR,"Graham Ave., Meeker Ave., Humbolt St., BQE",True,Lentol Garden,50,59,"170,755",B223U,B-01,True,B-01,B-01,False,94,False,Lentol Garden,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11222,POINT (-73.94506250954495 40.72014872078535)
1949 Mar 10 12:00:00 AM,0.752,15 MARCY AVENUE,B,PARK,301,34,B-01,Jaime Campiz Playground,"100,004,394",B223R,39AD2FF2-443B-455E-AC15-F69649766256,DPR,"Hope St., Marcy Ave., Metropolitan Ave.",True,Jaime Campiz Playground,50,18,"170,754",B223R,B-01,True,B-01,B-01,True,90,False,Jaime Campiz Playground,Neighborhood Plgd,Playground,7,False,11211,POINT (-73.95446322857924 40.71343802166736)
1950 Mar 09 12:00:00 AM,1.225,126 BRIGHTWATER COURT,B,PARK,313,48,B-13,Brighton Playground,"100,004,640",B169A,9FAECC9A-1FDF-4633-8F70-E54C4B482F9D,DPR,Brighton 2 St. bet. Brightwater Ct. and Boardwalk E.,False,Brighton Playground,46,23,"170,744",B169A,B-13,True,B-13,B-13,True,60,False,Brighton Playground,Neighborhood Plgd,Playground,8,True,11235,POINT (-73.96539896505693 40.575079196388494)
2000 Aug 10 12:00:00 AM,6.282,1490 SHERIDAN EXPRESSWAY,X,PARK,202,17,X-14,Concrete Plant Park,"100,005,125",X305,15A638A5-7B50-472F-A5C9-54B3553659E4,DPR,Bronx River bet. Westchster Av and Bruckner Blvd,False,Concrete Plant Park,85,32,"170,750",X305,X-14,True,X-02,X-02,True,41,False,Concrete Plant Park,Large Park,Neighborhood Park,14,True,"10459, 10472",POINT (-73.88521291065156 40.825385631704194)
,16.831,301 3 AVENUE,Q,PARK,407,19,Q-07,Francis Lewis Park,"100,000,163",Q126,C9D0A96F-0462-4120-9375-DE4B2C562B07,DPR,3 Ave. bet. Parsons Blvd and 147 St.,True,Francis Lewis Park,27,11,"170,749",Q126,Q-07,True,Q-07,Q-07,True,109,False,Francis Lewis Park,Large Park,Neighborhood Park,14,True,11357,POINT (-73.82523165902302 40.79698743480566)
2002 Nov 20 12:00:00 AM,0.066,313 EAST 8 STREET,M,PARK,103,2,M-03,De Colores Cmty Yard and Center,"100,004,282",M336,6C164E26-8602-4584-84F1-6B8ABB93CB60,DPR,E. 8 St. bet. Ave. B and Ave. C,False,De Colores Community Yard and Cultural Center,74,27,"170,679",M336,M-03,False,M-03,M-03,False,9,False,De Colores Cmty Yard and Center,Greenthumb,Garden,10,False,10009,POINT (-73.97974058977474 40.72544982291288)
1962 May 24 12:00:00 AM,104.545,91 TRENTON COURT,R,PARK,503,51,R-03,Lemon Creek Park,"100,003,787",R079,217939F1-704C-4D07-B311-A778D0A67C6D,DPR,Hylan Blvd. from Sharrott Ave. to Seguine Ave.,True,Lemon Creek Park,62,24,"170,740",R079,R-03,True,R-03,R-03,True,123,False,Lemon Creek Park,Large Park,Waterfront Facility,11,True,10309,POINT (-74.19870301942744 40.514373257706566)
1994 Mar 03 12:00:00 AM,0.356,500-501 E. 107 Street,M,PARK,111,8,M-15,Pier 107 CVII,"100,004,748",M290,F52BA3AA-455A-4C18-B3AF-1DF9620AEBEB,DPR,FDR Dr. at E. 107 St.,False,Pier 107 CVII,68,29,"170,738",M290,M-15,False,M-15,M-15,False,23,False,Pier 107 CVII,Neighborhood Park,Waterfront Facility,13,True,10029,POINT (-73.93663365633225 40.789065653691765)
1979 Jul 17 12:00:00 AM,0.44,1086 EAST 180 STREET,X,PARK,206,15,X-06,River Garden,"100,004,905",X245,D5653EE5-034D-4047-BDE3-77ECBD136B41,DPR,E 180 St bet. the Bronx River and Devoe Av,False,River Garden,87,32,"170,734",X245,X-06,True,X-06,X-06,False,48,False,River Garden,Neighborhood Park,Garden,15,True,10460,POINT (-73.87661781657032 40.84194168980973)
1948 Jan 29 12:00:00 AM,1.534,255 PARKINSON AVENUE,R,PARK,502,50,R-02B,Old Town Playground,"100,004,659",R063,8841E558-0B65-4D03-B82A-8F70B6DA6394,DPR,Parkinson Ave. at Kramer St.,True,Old Town Playground,64,23,"170,732",R063,R-02,True,R-02,R-02,True,122,False,Old Town Playground,JOP,Playground,11,False,10305,POINT (-74.08136110490199 40.595394765005935)
1896 Jun 22 12:00:00 AM,2.29,757 DUMONT AVENUE,B,PARK,305,42,B-05,Martin Luther King Jr. Playground,"100,004,451",B056,4CB9286C-2F7D-400E-BE8F-00C8E6F0BDC5,DPR,"Dumont Ave., Blake Ave. bet. Bradford St. and Miller Ave.",False,Martin Luther King Jr. Playground,60,19,"170,723",B056,B-05,True,B-05,B-05,True,75,False,Martin Luther King Jr. Playground,Neighborhood Plgd,Playground,8,False,11207,POINT (-73.89042777286198 40.66768733830495)
1906 Jul 06 12:00:00 AM,0.41,375 JAMAICA AVENUE,B,PARK,305,37,Q-05A,Highland Park Childrens Garden (BOOKED BY QUEENS),"100,003,695",B047A,04D5FDE7-F02F-42AF-A78A-5A892DE5C24E,DPR,Jamaica Ave. bet. Warwick St. to Ashford St.,True,Highland Park Childrens Garden,54,18,"170,722",B047A,B-05,False,Q-05A,B-05,False,75,False,Highland Park Childrens Garden,Greenthumb,Garden,7,False,11207,POINT (-73.88788214551755 40.682940938126805)
1938 Mar 18 12:00:00 AM,2.799,343 CLEVELAND STREET,B,PARK,305,37,B-05,Sperandeo Brothers Playground (IS 302),"100,004,724",B163,86CBAA51-9715-41B7-9CE8-CFA360D80C8A,DPR,"Atlantic Ave., Cleveland St. and Liberty Ave.",True,Sperandeo Brothers Playground,54,19,"170,721",B163,B-05,True,B-05,B-05,True,75,False,Sperandeo Brothers Playground,JOP,Jointly Operated Playground,7,False,11208,POINT (-73.8845796075652 40.67688402076212)
1931 Sep 25 12:00:00 AM,3.333,280 MILL ROAD,R,PARK,503,50,R-03,Gerard P. Dugan Playground,"100,004,059",R026,8C4CBAE7-1D81-403E-B804-8B37568CC359,DPR,Mill Rd. to Weed Ave. bet. Tysens La. and Isernia Ave.,False,Gerard P. Dugan Playground,64,24,"170,720",R026,R-03,True,R-03,R-03,True,122,False,Gerard P. Dugan Playground,Neighborhood Plgd,Community Park,11,False,10306,POINT (-74.11087361902307 40.56144512995763)
1864 Jun 15 12:00:00 AM,47.57,1000 WASHINGTON AV,B,PARK,"309,308",35,B-19,Brooklyn Botanic Garden,"100,004,650",B010,15F9B3D6-A952-43BE-BF9B-346EEAD4A3E3,DPR,"Washington Ave., Flatbush Ave. bet. Eastern Pkwy. and Empire Blvd.",False,Brooklyn Botanic Garden,44,20,"170,716",B010,B-19,False,B-19,B-19,False,78,False,Brooklyn Botanic Garden,Garden,Buildings/Institutions,10,False,11238,POINT (-73.9638062223581 40.66800493934706)
1921 Jun 09 12:00:00 AM,0.027,1424 MYRTLE AVENUE,B,PARK,304,37,B-04,Heisser Triangle,"100,003,755",B045,65A97233-1273-4BE9-9C91-836512A61C40,DPR,"Knickerbocker Ave., Myrtle Ave., Bleecker St.",True,Heisser Triangle,53,18,"170,715",B045,B-04,True,B-04,B-04,True,83,False,Heisser Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11237,POINT (-73.91790469931982 40.69870837499964)
1958 Jan 08 12:00:00 AM,2.075,880 LAFAYETTE AVENUE,X,PARK,209,18,X-09,Story Playground,"100,003,765",X204,E64E514D-AA60-4EEC-B16E-3CCCC47512F3,DPR/DOE,Story Ave. bet. Taylor Ave. and Thieriot Ave.,False,Story Playground,85,34,"170,714",X204,X-09,True,X-09,X-09,True,43,False,Story Playground,JOP,Jointly Operated Playground,14,False,10473,POINT (-73.86284389406762 40.822913009789445)
1931 Mar 19 12:00:00 AM,8.108,650 BROADWAY,R,PARK,501,49,R-01,Barrett Park,"100,003,748",R003,E28BA091-47D0-4ACD-B151-2306587ADD37,DPR,Glenwood Pl. bet. Clove Rd. and Broadway,True,Barrett Park,61,24,"170,717",R003,R-01,False,R-01,R-01,False,120,False,Barrett Park,Large Park,Buildings/Institutions,11,False,10310,POINT (-74.11561351405578 40.62509462051986)
2000 Feb 09 12:00:00 AM,0.778,8-00 ASTORIA BOULEVARD,Q,PARK,401,22,Q-01,Two Coves Community Garden  / GOODWILL PARK (old),"100,000,075",Q477,DD1EAA70-8B51-44EE-9A67-DC456F61B766,DPR,"Astoria Blvd., 30 Ave. bet. Main Ave. and 8 St.",True,Two Coves Community Garden,36,59,"170,709",Q477,Q-01,True,Q-01,Q-01,False,114,False,Two Coves Community Garden,Undeveloped,Garden,14,False,11102,POINT (-73.93214822145629 40.77233680787478)
1997 Dec 19 12:00:00 AM,1.78,52-01 101 STREET,Q,PARK,404,21,Q-04,Simeone Park,"100,000,073",Q474,297DD6E4-6CB2-40C7-9042-EF39446A4FE8,DPR,"Lewis Ave., Radcliff Ave. bet. 101 St. and 102 St.",False,Simeone Park,39,13,"170,708",Q474,Q-04,True,Q-04,Q-04,True,110,False,Simeone Park,Neighborhood Park,Neighborhood Park,14,False,11368,POINT (-73.85978232498539 40.74084359471407)
1997 Dec 19 12:00:00 AM,0.18,52-01 101 STREET,Q,PARK,404,21,Q-04,Corona Taxpayers Association Garden,"100,008,334",Q474A,577EEBC8-FF36-43C0-B880-C19E29504A00,DPR,102 St. bet. Radcliff Ave. and Strong Ave.,False,Corona Taxpayers Association,39,13,"170,707",Q474A,Q-04,False,Q-04,Q-04,False,110,False,Corona Taxpayers Association,,Garden,14,False,11368,POINT (-73.85998100112057 40.74160534491166)
2002 Nov 20 12:00:00 AM,0.05,53 AVENUE C,M,PARK,103,2,M-03,The Secret Garden,"100,003,974",M332,3013745B-356E-46B6-9F86-1ED63804CAB4,DPR,E. 4 St. and Ave C.,False,The Secret Garden,74,27,"170,677",M332,M-03,True,M-03,M-03,False,9,False,The Secret Garden,Greenthumb,Garden,10,False,10009,POINT (-73.98035680984334 40.7224938031281)
1936 Aug 20 12:00:00 AM,0.517,1037-1063 LAFAYETTE AVENUE,B,PARK,303,36,B-03,Lafayette Playground,"100,004,444",B023,FE684F3E-2B24-4812-AE76-27B6784CC916,DPR,Lafayette Ave. bet. Malcolm X Blvd. and Patch Ave.,False,Lafayette Playground,56,25,"170,706",B023,B-03,True,B-03,B-03,True,81,False,Lafayette Playground,Neighborhood Plgd,Playground,8,False,11221,POINT (-73.93006614946415 40.69255632814132)
1900 Oct 28 12:00:00 AM,0.518,5-32 49 AVENUE,Q,PARK,402,26,Q-02,Andrews Grove,"100,000,014",Q045,A2FB3BDA-CD77-45BA-9AEA-C631BB3DDFFD,DPR/HPD,49 Ave. bet. 5 St. and Vernon Blvd.,True,Andrews Grove,37,59,"170,705",Q045,Q-02,True,Q-02,Q-02,True,108,False,Andrews Grove,Neighborhood Plgd,Playground,7,False,11101,POINT (-73.95481779201394 40.74338230151783)
1956 Jul 26 12:00:00 AM,1.25,89-02 32 AVENUE,Q,PARK,403,25,Q-03,Playground Ninety,"100,000,237",Q362,059FF001-A994-4A00-8443-CE631D5306D0,DPR/DOE,"89 St., 90 St. bet. Northern Blvd. and Jackson Mill Rd.",False,Playground Ninety,34,13,"170,610",Q362,Q-03,True,Q-03,Q-03,True,115,False,Playground Ninety,JOP,Jointly Operated Playground,14,False,11369,POINT (-73.87858289528198 40.75731577321517)
1940 Jun 06 12:00:00 AM,0.9,210 ONDERDONK AVENUE,Q,PARK,405,34,Q-05,Starr Playground,"100,000,269",Q291,39287F64-5500-48EC-BA6E-C9A8C39EBC39,DPR,Onderdonk Ave. bet. Starr St. and Willoughby Ave.,False,Starr Playground,37,18,"170,603",Q291,Q-05,True,Q-05,Q-05,True,104,False,Starr Playground,Neighborhood Plgd,Playground,7,False,11385,POINT (-73.91780715416171 40.70978363005647)
